FREN,1001,Research,02:10:02,23:55:48
HONR,1002,Special Topic II,01:08:53,21:16:20
ACCY,1003,Basics of Mathematics,04:53:12,22:01:20
CHEM,1004,Intro II (Majors),01:10:56,21:00:27
CHEM,1005,Special Topic II,05:26:11,19:15:22
MAE,1006,Advanced Topics,00:23:02,19:21:13
SPAN,1007,Advanced Topics,08:39:45,19:53:33
DATS,1008,Research,06:34:43,18:48:26
BIO,1009,Special Topic II,06:21:35,23:36:17
DATS,1010,Advanced Topics,00:12:16,15:31:20
ENGL,1011,Basics of Mathematics,06:21:33,18:06:08
BIOC,1012,Basics of Mathematics,01:36:15,17:23:52
BIOC,1013,Introduction,00:05:26,23:01:03
ENGL,1014,Research,01:16:57,19:22:25
DATS,1015,Basics of Mathematics,06:24:23,14:44:34
JAPN,1016,Research,06:58:15,15:01:02
ECON,1017,Intro II (Non-Majors),09:58:40,15:29:13
HONR,1018,Advanced Topics,03:27:03,23:42:49
HONR,1019,Intro II (Majors),04:02:49,21:12:09
BIO,1020,Advanced Topics,11:14:44,20:58:33
DATS,1021,Introduction,00:30:43,19:56:50
HONR,1022,Introduction,08:35:53,14:34:50
CSCI,1023,Research,04:16:50,17:05:03
SPAN,1024,General Studies,00:49:07,18:54:56
FINA,1025,Intro II (Majors),07:41:46,20:25:15
PHYS,1026,Intro II (Non-Majors),03:59:29,21:06:12
ECON,1027,Introduction,06:05:29,23:13:38
CNSL,1028,Special Topic I,01:53:51,16:15:28
HONR,1029,Basics of Mathematics,06:16:56,21:52:41
FINA,1030,Intro II (Majors),01:33:56,16:45:00
ENGL,1031,Basics of Mathematics,08:34:50,14:47:54
FINA,1032,Advanced Topics,07:35:58,15:24:24
DATS,1033,Advanced Topics,02:49:22,18:10:19
ECON,1034,Research,08:19:25,15:54:35
JAPN,1035,Basics of Mathematics,08:26:02,18:00:21
HDEV,1036,Intro II (Non-Majors),02:44:10,22:11:25
PHYS,1037,Basics of Mathematics,08:49:54,15:48:54
ENGL,1038,Intro II (Non-Majors),04:38:37,19:12:16
SPAN,1039,General Studies,07:54:52,16:57:20
JAPN,1040,Introduction,11:14:08,12:59:45
SPAN,1041,Advanced Topics,01:00:36,23:56:01
BIOC,1042,General Studies,07:40:21,13:23:23
ITAL,1043,Advanced Topics,03:22:34,20:50:17
ECON,1044,Research,09:03:05,22:17:40
HDEV,1045,Intro II (Majors),07:01:24,15:39:27
BIOC,1046,Basics of Mathematics,04:30:01,20:33:46
BIOC,1047,General Studies,05:46:36,16:37:13
SPAN,1048,Introduction,10:23:34,12:16:29
HDEV,1049,Special Topic II,03:02:59,23:32:46
CHEM,1050,Basics of Mathematics,01:07:34,17:13:48
ITAL,1051,Intro II (Non-Majors),07:53:31,12:24:54
HONR,1052,Intro II (Majors),05:27:19,23:12:26
PHYS,1053,Special Topic I,07:03:46,19:48:02
PHYS,1054,Intro II (Majors),05:22:02,22:24:39
HDEV,1055,Intro II (Non-Majors),00:23:55,12:08:40
CHEM,1056,Intro II (Majors),11:52:23,19:52:33
ECON,1057,Basics of Mathematics,00:02:58,15:02:12
ITAL,1058,Advanced Topics,03:25:11,14:03:16
BIO,1059,General Studies,02:17:21,17:10:24
FREN,1060,General Studies,03:47:35,22:33:48
SPAN,1061,Intro II (Non-Majors),03:28:18,20:35:07
DATS,1062,Advanced Topics,05:44:53,22:53:38
CHEM,1063,Real World Applications,08:34:29,17:27:06
MUS,1064,Special Topic II,07:25:05,14:48:43
FREN,1065,Special Topic I,02:54:00,17:22:22
CSCI,1066,Special Topic II,01:00:56,23:44:24
ECON,1067,Special Topic I,08:26:03,18:20:14
HONR,1068,Special Topic I,08:24:06,15:04:43
CNSL,1069,Basics of Mathematics,07:19:00,12:25:44
BIO,1070,Special Topic I,06:59:00,12:01:48
CHEM,1071,Research,07:41:11,21:47:55
MAE,1072,Special Topic II,01:27:10,14:33:00
MAE,1073,Special Topic II,10:11:04,23:07:54
ITAL,1074,Special Topic I,02:46:01,23:23:26
CHEM,1075,Basics of Mathematics,10:17:46,23:25:32
ACCY,1076,Special Topic I,00:05:40,16:27:43
MAE,1077,Advanced Topics,08:12:43,12:11:34
MATH,1078,Research,05:27:55,19:51:50
ENGL,1079,Intro II (Majors),00:16:53,14:47:03
ECON,1080,Intro II (Non-Majors),05:38:04,20:30:36
BIOC,1081,Special Topic II,05:00:15,17:44:14
HONR,1082,Research,03:00:31,21:54:05
HDEV,1083,Special Topic I,00:02:47,19:06:24
MAE,1084,Advanced Topics,04:17:12,17:08:11
CHEM,1085,Advanced Topics,10:53:38,12:55:07
FREN,1086,General Studies,00:02:00,20:24:50
ENGL,1087,Intro II (Non-Majors),06:36:25,14:25:23
CSCI,1088,Research,05:00:48,18:40:50
BIOC,1089,Basics of Mathematics,00:41:09,16:00:25
ACCY,1090,Basics of Mathematics,07:45:54,16:35:07
FREN,1091,Advanced Topics,06:34:33,22:28:34
DATS,1092,Research,11:44:58,14:47:16
FREN,1093,Intro II (Non-Majors),05:36:22,18:32:12
DATS,1094,Special Topic II,00:15:06,13:31:02
CNSL,1095,Special Topic II,05:59:59,19:44:08
FINA,1096,Intro II (Non-Majors),07:59:30,15:40:45
ITAL,1097,Intro II (Majors),00:49:43,17:41:02
ITAL,1098,General Studies,06:53:23,20:09:25
MUS,1099,Intro II (Majors),04:09:24,16:41:54
CSCI,1100,Basics of Mathematics,09:52:55,15:58:32
CNSL,1101,Research,10:12:00,21:20:27
JAPN,1102,General Studies,04:49:20,17:39:54
HDEV,1103,Intro II (Non-Majors),05:43:56,17:05:46
ECON,1104,Special Topic II,11:30:53,18:07:19
BIOC,1105,General Studies,02:26:09,14:56:07
CNSL,1106,Basics of Mathematics,04:27:01,17:35:19
ACCY,1107,Intro II (Non-Majors),01:41:40,13:50:39
JAPN,1108,Introduction,08:01:27,23:30:44
HONR,1109,Intro II (Non-Majors),02:54:58,13:00:11
BIOC,1110,Intro II (Majors),09:15:07,19:46:46
JAPN,1111,Real World Applications,07:41:03,19:55:27
DATS,1112,Intro II (Non-Majors),09:28:00,13:05:37
BIO,1113,Special Topic II,09:16:29,21:20:52
MUS,1114,Introduction,05:40:19,19:38:43
SPAN,1115,Real World Applications,01:07:52,21:35:08
CHEM,1116,Research,10:59:13,22:09:04
HONR,1117,Research,10:04:34,12:42:45
HONR,1118,Basics of Mathematics,07:45:14,20:48:46
FREN,1119,Advanced Topics,04:35:46,20:01:55
MUS,1120,Basics of Mathematics,10:46:34,17:56:53
CSCI,1121,Special Topic II,08:50:38,13:54:31
ITAL,1122,General Studies,10:41:07,13:19:53
MAE,1123,Introduction,08:42:10,22:16:44
ENGL,1124,Basics of Mathematics,08:20:48,20:48:59
BIOC,1125,Real World Applications,08:46:22,16:57:20
MAE,1126,Research,08:20:13,19:59:22
DATS,1127,Advanced Topics,07:30:37,23:32:33
ACCY,1128,Introduction,06:41:17,18:58:51
CNSL,1129,Advanced Topics,11:30:01,19:02:45
FINA,1130,Basics of Mathematics,11:44:25,21:08:55
CNSL,1131,Special Topic I,10:48:34,23:57:58
ENGL,1132,Special Topic I,03:03:07,22:24:11
MATH,1133,Real World Applications,00:30:47,15:13:44
CHEM,1134,General Studies,07:53:56,15:00:00
HDEV,1135,Advanced Topics,01:15:06,16:01:07
